imagename,pen_pressure,letter_spacing,size,dimension,is_lowercase,is_continuous,slantness,tilt,entry_stroke_a,staff_of_a,formation_n,staff_of_d,exit_stroke_d,word_formation,constancy
0097b_num2.png,2,2,3,3,2,1,1,1,1,2,2,2,1,1,2
0780b_num4.png,2,1,3,3,2,1,1,1,1,1,2,2,1,2,2
1131b_num3.png,2,2,3,2,2,2,1,1,1,2,2,3,2,2,2
1123c_num6.png,1,2,2,2,2,2,1,1,1,2,2,3,2,1,2
0396b_num1.png,1,1,2,2,2,2,3,1,1,2,2,3,2,2,2
1170b_num2.png,1,1,3,2,2,1,1,1,1,1,2,2,4,1,1
1278b_num4.png,2,2,3,2,2,1,2,1,1,2,2,2,2,2,2
0983a_num2.png,1,2,2,2,2,2,2,1,1,2,2,3,2,1,2
0026c_num1.png,2,3,2,2,2,2,1,1,1,2,2,2,2,1,2
1203a_num3.png,1,3,2,2,2,1,1,1,1,4,2,2,1,2,2
1162b_num3.png,1,2,2,2,2,2,2,1,1,2,2,2,3,1,1
0467a_num4.png,2,1,3,3,2,1,1,1,1,2,2,1,1,1,2
0733a_num2.png,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2
0970a_num2.png,1,2,2,2,1,2,1,1,1,1,2,1,1,1,1
0830a_num2.png,1,2,3,3,2,2,1,1,1,2,2,1,1,2,2
0648c_num1.png,1,1,2,2,2,2,2,2,1,2,2,3,3,1,1
0522a_num1.png,2,2,2,2,2,2,2,1,1,2,2,3,2,2,2
0409b_num2.png,1,2,2,3,2,2,4,1,1,1,1,2,1,1,1
0020b_num2.png,2,2,3,2,2,2,1,1,1,2,2,2,2,2,2
0059c_num4.png,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2
1451b_num1.png,1,2,2,2,2,2,1,1,1,2,2,3,2,2,2
0448a_num4.png,2,2,3,2,2,1,2,1,1,2,2,2,2,2,2
1157b_num1.png,2,1,3,2,2,1,1,1,1,1,2,2,2,2,2
1228a_num3.png,2,2,3,3,2,1,1,1,1,2,2,2,1,2,2
0777a_num2.png,1,1,2,2,2,2,2,2,1,4,2,2,2,1,1
1227b_num2.png,1,2,2,2,2,2,2,1,1,2,2,3,3,1,2
1279c_num7.png,1,2,3,3,2,1,1,2,1,2,2,2,1,1,2
1070c_num3.png,1,2,3,3,2,1,1,1,1,2,2,2,1,2,2
0510b_num1.png,1,2,2,2,2,2,1,1,1,2,2,2,2,2,2
1253b_num2.png,1,2,2,2,2,2,1,1,1,2,2,2,2,2,2
1029b_num3.png,2,2,3,2,2,2,1,1,1,2,2,3,2,2,2
1231b_num2.png,2,2,2,2,2,2,2,1,1,2,2,3,2,2,2
0328c_num5.png,2,2,3,2,2,2,1,1,1,2,2,2,2,2,2
0970c_num4.png,1,2,3,3,1,1,1,1,1,1,2,1,1,2,2
0790b_num2.png,2,2,2,2,2,1,1,1,1,2,2,3,2,2,2
0626cc_num1.png,2,2,2,2,2,2,2,2,1,2,2,3,2,2,2
1157a_num5.png,1,1,3,3,2,1,1,1,1,2,2,2,2,2,2
0495b_num3.png,1,3,2,2,2,1,1,2,1,2,2,3,2,2,2
1214c_num4.png,1,3,2,2,2,1,4,1,1,4,2,2,1,2,2
1127c_num1.png,2,2,2,2,2,2,2,1,1,2,2,3,2,2,2
0901a_num1.png,1,3,3,2,2,1,1,1,1,1,2,2,1,2,2
0339c_num1.png,1,3,3,3,2,1,1,1,1,2,2,2,1,2,2
0021c_num8.png,2,2,3,2,2,2,1,1,1,2,2,2,2,2,2
0554a_num2.png,2,2,3,2,2,2,1,1,1,2,2,2,2,2,2
0706aa_num1.png,1,1,2,2,2,2,1,2,1,2,2,2,2,1,1
1015b_num1.png,1,2,2,2,2,2,2,2,1,2,2,3,2,1,2
0058c_num1.png,2,3,3,2,2,2,1,1,1,2,2,2,2,2,2
0862b_num1.png,1,2,2,2,2,2,2,1,1,2,1,3,2,1,1
0836c_num5.png,2,2,3,2,2,1,1,1,1,2,2,2,2,2,2
1165c_num5.png,2,2,3,3,2,2,2,1,1,2,1,2,2,1,1
1347b_num1.png,1,2,2,2,2,2,1,1,1,2,2,3,2,1,1
1068a_num2.png,2,2,3,2,2,1,1,1,1,1,2,2,1,1,2
0402c_num4.png,2,2,3,2,2,2,2,1,1,2,2,3,2,1,2
0778a_num4.png,2,2,2,2,2,1,1,1,1,4,2,2,1,2,2
0886b_num2.png,1,2,2,2,2,2,1,2,1,2,2,2,4,1,2
0614a_num1.png,1,2,2,1,2,2,1,1,1,2,2,2,2,1,1
0610b_num2.png,1,2,3,3,2,1,1,1,1,2,2,1,1,2,2
1387c_num3.png,2,3,3,3,2,1,1,1,1,2,2,2,1,2,2
1421c_num4.png,2,2,2,2,2,1,1,1,1,2,2,2,3,2,2
0239b_num3.png,2,2,2,2,2,2,1,1,1,2,2,3,2,1,2
1374b_num4.png,2,2,2,2,2,2,1,1,1,2,2,3,2,2,2
0961cc_num3.png,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2
0270c_num1.png,1,2,2,2,2,2,2,1,1,2,2,2,3,2,2
0699a_num4.png,1,3,2,2,2,1,1,1,1,2,2,2,2,2,2
1349a_num5.png,2,2,2,2,2,2,2,1,1,2,2,3,2,1,1
0027c_num2.png,1,1,3,2,2,2,1,2,1,2,2,2,1,2,2
0618b_num2.png,1,2,2,2,2,2,1,1,1,2,2,2,2,2,2
0883c_num1.png,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2
0748b_num2.png,1,3,3,3,2,1,1,1,1,1,2,2,1,2,2
1374b_num2.png,2,2,3,2,2,1,1,1,1,2,2,2,2,2,2
0333a_num4.png,1,2,2,1,2,2,2,1,1,2,2,2,2,1,1
0214c_num3.png,2,3,3,3,2,1,1,1,1,2,2,2,2,2,2
0357b_num1.png,1,2,1,1,2,2,1,1,1,1,1,3,1,1,1
0476b_num1.png,2,2,3,2,2,2,2,1,1,2,2,2,2,2,2
1038b_num4.png,1,2,2,2,2,2,2,1,1,2,2,3,3,1,1
0784b_num4.png,2,2,3,3,2,1,1,1,1,4,2,2,1,2,2
0701a_num3.png,1,2,2,2,2,2,1,1,1,2,2,3,2,1,2
0631b_num3.png,1,2,2,2,2,2,1,1,2,2,2,3,2,1,2
0145c_num6.png,2,2,3,2,2,2,1,1,1,2,2,2,1,2,2
0169b_num6.png,1,2,2,2,2,2,2,1,1,2,2,3,2,2,2
1051c_num3.png,2,2,3,3,2,2,1,1,1,2,2,1,4,1,1
0955c_num4.png,1,2,2,2,2,2,1,1,1,2,2,3,2,2,2
0353a_num2.png,2,2,3,2,2,2,2,1,1,2,2,2,2,2,2
0030b_num4.png,1,1,2,3,2,2,2,1,1,2,2,2,2,1,1
0002c_num1.png,1,2,3,3,2,1,1,1,1,2,2,2,1,2,2
0845b_num1.png,1,3,3,3,2,1,1,1,1,2,2,2,2,2,2
0215c_num2.png,1,2,3,2,2,2,1,2,1,2,2,2,2,2,2
0713a_num3.png,1,2,2,2,2,2,2,1,1,2,2,3,2,2,2
1152b_num1.png,1,2,2,2,2,2,2,1,1,2,1,3,2,1,1
0705a_num3.png,1,3,2,2,2,2,1,1,1,2,2,3,4,2,2
0753a_num4.png,1,2,2,2,2,2,1,1,1,2,2,3,4,2,2
0396c_num1.png,2,2,2,2,2,2,3,1,1,2,2,3,2,1,2
0832b_num1.png,1,2,2,2,2,2,3,1,1,2,2,2,2,2,2
