imagename,pen_pressure,letter_spacing,size,dimension,is_lowercase,is_continuous,slantness,tilt,entry_stroke_a,staff_of_a,formation_n,staff_of_d,exit_stroke_d,word_formation,constancy
1504aa_num1.png,2,3,2,2,2,1,2,1,1,2,2,3,2,2,2
1543b_num2.png,2,3,1,1,2,2,3,1,1,1,1,3,2,1,1
1504a_num3.png,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2
1549c_num2.png,2,2,2,2,2,2,1,1,1,2,2,2,4,2,2
1496c_num1.png,2,1,1,1,2,2,1,1,1,1,1,3,2,1,1
1513b_num1.png,1,1,2,2,2,2,2,1,1,2,1,2,2,1,1
1497b_num2.png,2,2,2,2,2,1,3,1,1,2,2,2,2,1,2
1556b_num3.png,1,2,2,2,2,2,1,2,1,2,2,2,2,2,2
1522b_num1.png,2,3,1,1,2,2,1,1,1,2,2,3,4,1,1
1530b_num2.png,2,2,2,2,2,2,1,1,1,4,2,3,2,1,1
1556c_num4.png,1,2,3,2,2,2,1,1,1,2,2,2,2,2,2
1451b_num1.png,1,2,2,2,2,2,1,1,1,2,2,3,1,2,2
1504a_num2.png,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2
1466c_num1.png,2,2,1,1,2,2,2,1,1,2,2,3,3,1,2
1546b_num2.png,2,2,2,2,2,2,2,1,1,2,2,3,2,1,2
1464a_num1.png,2,2,1,1,2,2,2,1,1,2,2,1,1,1,1
1530c_num2.png,2,2,2,1,2,2,1,1,1,1,2,3,4,1,1
1549b_num4.png,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2
1480a_num2.png,2,2,2,2,2,2,1,2,1,2,2,3,1,1,1
1469a_num1.png,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2
1561c_num2.png,2,2,2,2,2,2,1,1,1,2,2,2,2,1,1
1543b_num5.png,2,2,2,2,2,2,2,1,1,2,2,3,2,2,2
1554c_num2.png,1,2,2,2,2,2,2,2,1,2,2,3,1,1,2
1461c_num3.png,2,2,2,2,2,2,2,2,1,2,2,3,2,1,2
1455b_num2.png,1,2,2,2,2,2,1,1,1,2,2,2,3,1,2
1530a_num2.png,2,2,2,1,2,2,1,1,1,1,2,3,4,1,1
1529c_num3.png,2,2,1,1,2,2,2,1,1,1,2,3,2,1,1
1486b_num2.png,2,3,1,1,2,2,3,1,1,1,1,3,4,1,1
1499b_num2.png,2,2,1,1,2,2,2,1,2,2,2,2,4,1,2
1461c_num5.png,2,2,2,2,2,2,2,1,1,2,2,3,2,1,2
1557b_num3.png,1,2,3,3,2,1,4,1,1,2,2,2,2,1,2
1519c_num3.png,2,1,1,1,2,2,3,2,2,2,1,2,1,1,1
1519c_num6.png,2,3,1,1,2,2,2,1,2,2,1,2,4,1,1
1556a_num5.png,1,2,2,2,2,2,1,2,1,2,2,2,1,2,2
1544a_num1.png,1,1,1,1,2,2,3,1,1,2,2,2,2,1,2
1523c_num1.png,2,3,2,2,2,1,1,1,1,1,2,1,1,2,2
1494c_num3.png,2,2,1,1,2,2,1,1,1,2,2,3,4,1,2
1539a_num1.png,2,3,1,1,2,2,2,2,1,1,1,2,4,1,1
1537a_num3.png,2,3,2,2,2,1,2,1,1,2,2,2,3,1,2
1518c_num4.png,2,3,1,1,2,2,1,1,1,2,2,3,4,1,1
1467b_num3.png,1,1,3,3,2,2,2,2,1,2,1,3,3,1,1
1546b_num1.png,2,2,2,2,2,2,2,1,1,2,2,3,3,1,2
1491b_num1.png,2,2,1,1,2,2,2,1,1,1,2,3,4,1,1
1506c_num1.png,2,2,2,2,2,1,4,1,1,2,2,3,4,1,2
1507a_num1.png,2,3,2,2,2,2,1,1,1,4,2,2,2,1,1
1526b_num3.png,2,2,3,2,2,1,4,1,1,2,2,2,1,2,2
1490b_num2.png,2,3,1,1,2,2,3,1,2,1,1,2,4,1,1
1555c_num1.png,2,3,1,1,2,2,3,1,1,2,1,3,4,1,1
1565a_num1.png,2,2,1,1,2,2,2,2,1,2,1,3,4,1,1
1455a_num1.png,2,2,1,1,2,2,1,1,1,2,2,3,4,1,2
1510a_num1.png,1,2,1,1,2,2,3,1,1,2,2,3,2,1,2
1496c_num3.png,2,1,1,1,2,2,3,1,1,2,2,3,2,1,2
1510b_num1.png,2,2,1,2,2,1,3,1,1,2,2,3,2,2,2
1525a_num4.png,2,2,3,2,2,1,1,1,1,1,2,2,1,2,2
